feature,importance
affected_customer_count,0.4046733801644238
outage_type_planned,0.08549071509958071
is_planned,0.0770075608085788
outage_type_unplanned,0.06723431647983066
network_element_type_Dağıtım Merkezi,0.05995293805005331
network_element_type_Fider,0.033420384795979044
network_element_type_Direk,0.028390194589427636
wind_speed,0.020986288898156805
precipitation_mm,0.020800552107175293
network_element_type_Ayırıcı,0.01736997383049791
day,0.016597847501465295
hour,0.015325448459149425
network_element_type_Trafo,0.014553822242249074
month,0.012595986971828014
dayofweek,0.01041242837769956
network_element_type_Kesici,0.008149827825991043
network_element_type_Hücre,0.005474541584535278
year,0.005281875633264511
network_element_type_Kablo,0.004993100158235159
cause_Kablo arızası,0.004495741830270727
cause_Hava muhalefeti,0.004398500637765145
cause_Trafo arızası,0.0036932081215073427
cause_Ekipman arızası,0.0036116836603542687
source_Mobile,0.00269847470667936
source_OSOS,0.0026820730682455295
source_OMS,0.002566700378452386
is_weekend,0.002557804301022866
cause_Aşırı yüklenme,0.0024665297627614923
source_Manual,0.0024598845397248354
city_Ankara,0.002377068924238393
source_CRM,0.002376797538311779
city_Kayseri,0.0023444420819666084
city_Sivas,0.002329020872602468
cause_Bakım çalışması,0.0023024410566788236
source_SCADA,0.0022805061030477867
city_Konya,0.0022352059325615944
city_Eskişehir,0.002158034070243195
cause_Bilinmeyen,0.0015429423145237903
cause_Kuş / hayvan teması,0.0013331232437785053
cause_Ağaç teması,0.0013059451738218944
district_Melikgazi,0.0012129664829045172
district_Odunpazarı,0.0011811579281461324
district_Merkez,0.001099389526392238
district_Yenimahalle,0.000998302348252057
district_Ereğli,0.0009897944459086915
cause_Üçüncü şahıs müdahalesi,0.0009692196825907202
district_Yıldızeli,0.000912736798151959
district_Yahyalı,0.0008683114820015037
district_Etimesgut,0.0008541737749059774
district_Divriği,0.0008476595881444961
district_Selçuklu,0.0008194428091674565
district_Kocasinan,0.0008136707000660671
district_Yeşilhisar,0.0007905582941239161
district_Sivrihisar,0.000788724715917684
district_Kangal,0.0007722728415808607
district_Beylikova,0.0007543932236643077
district_Gemerek,0.0007534400368067991
district_Altındağ,0.0007456329601660746
district_Akşehir,0.0007413869754198054
district_Şarkışla,0.0007407895927937566
district_Bünyan,0.0007266251446041956
district_Meram,0.0007228268936804634
district_Mihalıççık,0.0007153705888003026
district_Çankaya,0.0007077245462473812
district_Tepebaşı,0.0007030594913392735
district_Develi,0.0006997262064818254
district_Talas,0.0006681910578824811
district_Suşehri,0.0006631749562146178
district_Gürün,0.0006616616856096606
district_Keçiören,0.0006584801459514253
district_İncesu,0.0006556312116074424
district_Sincan,0.0006525666877609481
district_Cihanbeyli,0.0006463660588114982
district_Tomarza,0.000639305042318849
district_Alpu,0.0006379625158745376
district_Seydişehir,0.0006329814218367034
district_Gölbaşı,0.0006266888562869935
district_Pınarbaşı,0.0006201174417913835
district_Çifteler,0.0006126061693478675
district_Karatay,0.0005999663291711402
district_Polatlı,0.0005954775853495247
district_Seyitgazi,0.0005899668893377912
district_Hafik,0.0005716369096146221
district_Zara,0.0005606046439264868
district_Kulu,0.0005562877304952755
district_Ilgın,0.0005555093413712615
district_Pursaklar,0.0005413384459991976
district_Beyşehir,0.0005153514830804701
district_Mahmudiye,0.00048555051686480113
district_İnönü,0.00047850582664877564
district_Mamak,0.00040911547566039534
storm_flag,0.000175032381668178
is_force_majeure,0.0001332542145792294
